location,total_sqft,bath,price,bedroom
Yelahanka,1282.0,2.0,48.7,3
Kogilu,1909.0,3.0,88.00000000000003,3
Panathur,1359.0,2.0,87.0,2
other,1207.0,2.0,43.49999999999999,2
Kammasandra,1595.0,3.0,64.99999999999999,3
other,1798.0,3.0,88.99999999999999,3
Electronics City Phase 1,1475.0,3.0,78.28999999999999,3
other,1580.0,3.0,100.00000000000004,3
Dasarahalli,1295.0,2.0,64.99999999999999,2
Electronic City,589.0,1.0,27.0,1
other,1415.0,3.0,78.0,3
Sarjapur  Road,1787.0,3.0,98.29000000000002,3
Sarjapur  Road,1787.0,3.0,125.00000000000004,3
Koramangala,1475.0,2.0,90.0,3
other,2000.0,4.0,75.49999999999999,4
Sarjapur  Road,984.0,2.0,44.279999999999994,2
Devanahalli,1630.0,2.0,74.82000000000001,3
7th Phase JP Nagar,1080.0,2.0,72.0,2
other,1500.0,2.0,115.00000000000001,2
Hebbal,1900.0,3.0,119.00000000000003,3
Dommasandra,805.0,2.0,22.139999999999997,2
Budigere,1153.0,2.0,56.400000000000006,2
other,1148.0,2.0,59.999999999999986,2
other,1110.0,2.0,55.000000000000014,2
Electronic City,1100.0,2.0,42.00000000000001,2
Kalyan nagar,1290.0,2.0,110.00000000000004,2
other,1500.0,2.0,64.99999999999999,3
other,1080.0,2.0,38.99999999999999,2
Vijayanagar,1933.0,3.0,128.99999999999997,3
other,1060.0,2.0,59.999999999999986,2
Chandapura,645.0,1.0,16.450000000000003,1
Chandapura,645.0,1.0,16.450000000000003,1
other,1644.0,3.0,83.99999999999999,3
other,1285.0,2.0,72.49999999999999,2
Electronic City,1200.0,3.0,90.0,3
Electronic City,910.0,2.0,40.0,2
Kothanur,1577.0,3.0,70.00000000000003,3
Chandapura,800.0,1.0,19.999999999999996,2
other,1060.0,2.0,55.000000000000014,2
7th Phase JP Nagar,1270.0,2.0,93.00000000000003,2
other,900.0,2.0,22.499999999999996,2
other,1280.0,2.0,69.00000000000001,2
Horamavu Agara,1200.0,2.0,95.0,4
Sarjapur  Road,1025.0,2.0,36.0,2
Electronic City,1108.0,2.0,62.99999999999999,2
Vijayanagar,1500.0,3.0,75.49999999999999,3
Raja Rajeshwari Nagar,1295.0,2.0,43.9,2
Budigere,1162.0,2.0,59.899999999999984,2
Sarjapur  Road,1035.0,2.0,49.199999999999996,2
Attibele,1600.0,4.0,52.800000000000004,4
other,1464.0,3.0,46.0,3
Hennur Road,1866.0,2.0,61.580000000000005,3
other,700.0,1.0,26.000000000000004,2
Kalena Agrahara,1804.0,3.0,119.99999999999997,3
Sarjapur,913.0,2.0,32.0,2
Talaghattapura,1868.0,3.0,130.99999999999994,3
Kengeri Satellite Town,883.0,2.0,44.99999999999999,2
Kogilu,1664.0,2.0,73.94999999999999,3
Hegde Nagar,2026.0,3.0,131.99999999999997,3
Balagere,1210.0,2.0,80.90000000000002,2
Kadugodi,1762.0,3.0,91.45,3
Jigani,1252.0,3.0,55.000000000000014,3
Gollarapalya Hosahalli,861.0,2.0,34.50000000000001,2
7th Phase JP Nagar,1420.0,2.0,100.00000000000004,3
Electronics City Phase 1,1490.0,3.0,78.8,3
Bisuvanahalli,1075.0,2.0,46.0,3
Old Madras Road,1425.0,2.0,94.0,3
Kalena Agrahara,1200.0,2.0,40.0,2
Kaggadasapura,1280.0,2.0,56.00000000000002,3
other,1084.0,2.0,49.99999999999999,2
Chandapura,1015.0,2.0,25.880000000000003,2
Kanakpura Road,1017.0,2.0,51.25000000000001,2
Haralur Road,1027.0,2.0,43.99999999999999,2
Electronic City Phase II,1069.0,2.0,44.99999999999999,2
Hebbal,1349.0,2.0,98.19999999999996,2
9th Phase JP Nagar,1005.0,2.0,49.99999999999999,2
Jakkur,1417.0,2.0,74.99999999999997,2
TC Palaya,1475.0,3.0,98.00000000000004,3
other,950.0,2.0,46.99999999999999,2
other,2000.0,4.0,119.99999999999997,4
Sarjapur  Road,1863.0,3.0,103.99999999999999,4
Singasandra,1010.0,2.0,29.500000000000004,2
Kalena Agrahara,1425.0,2.0,70.00000000000003,3
Vijayanagar,1450.0,3.0,100.00000000000004,3
Kothanur,1847.0,3.0,104.99999999999997,3
AECS Layout,1100.0,2.0,44.99999999999999,2
Kanakpura Road,525.0,1.0,26.000000000000004,1
Mallasandra,1665.0,3.0,95.0,3
Begur,1664.0,4.0,64.99999999999999,4
JP Nagar,1850.0,3.0,149.99999999999997,3
Panathur,1438.0,2.0,100.00000000000004,2
other,1560.0,3.0,115.00000000000001,3
Yelahanka,1350.0,2.0,55.550000000000004,2
Kanakpura Road,1550.0,3.0,66.99999999999997,3
Malleshpalya,1140.0,2.0,46.49999999999999,2
other,850.0,2.0,27.0,2
Whitefield,1280.0,2.0,74.99999999999997,2
Munnekollal,1170.0,2.0,52.00000000000001,2
other,1113.0,2.0,51.0,2
Hennur Road,1385.0,2.0,83.08999999999999,2
Electronic City,1128.0,2.0,64.99999999999999,2
Haralur Road,1464.0,3.0,56.00000000000002,3
other,1200.0,2.0,55.000000000000014,2
Kaval Byrasandra,1200.0,2.0,52.00000000000001,2
Kaggalipura,1150.0,2.0,55.000000000000014,3
other,1645.0,3.0,95.0,3
Sarjapur  Road,1000.0,2.0,66.99999999999997,2
6th Phase JP Nagar,1192.0,2.0,74.00000000000003,2
Whitefield,1173.0,2.0,57.999999999999986,2
Uttarahalli,1020.0,2.0,44.99999999999999,2
Somasundara Palya,1600.0,3.0,63.99999999999998,3
other,1200.0,2.0,79.0,2
other,1230.0,2.0,48.00000000000001,2
Devarachikkanahalli,1250.0,2.0,40.0,2
Kalena Agrahara,1325.0,2.0,76.0,2
7th Phase JP Nagar,1850.0,3.0,149.99999999999997,3
Kanakpura Road,525.0,2.0,21.53,1
Basaveshwara Nagar,1200.0,2.0,64.99999999999999,2
Bommasandra,1260.0,3.0,49.36000000000001,3
other,1800.0,3.0,149.99999999999997,3
Ardendale,1100.0,2.0,43.25000000000001,2
Harlur,1508.0,2.0,77.00000000000001,2
other,1592.0,3.0,74.99999999999997,3
Akshaya Nagar,1388.0,2.0,57.00000000000001,2
Electronic City Phase II,630.0,1.0,28.350000000000005,1
other,1762.0,3.0,125.00000000000004,3
other,950.0,2.0,49.99999999999999,2
Magadi Road,1116.0,2.0,49.99999999999999,2
Narayanapura,1308.0,2.0,89.03999999999999,2
other,1200.0,3.0,90.0,3
Bannerghatta Road,500.0,1.0,18.499999999999996,1
Hennur,1075.0,2.0,52.00000000000001,2
Chandapura,530.0,1.0,11.659999999999998,1
Bellandur,1205.0,2.0,65.99999999999997,2
5th Phase JP Nagar,1075.0,2.0,59.999999999999986,2
KR Puram,930.0,2.0,38.99999999999999,2
Balagere,1380.0,2.0,59.999999999999986,2
Kodigehaali,1166.0,2.0,55.000000000000014,2
Bannerghatta Road,1050.0,2.0,64.99999999999999,2
Begur Road,1200.0,2.0,46.800000000000004,2
Lakshminarayana Pura,1600.0,2.0,108.00000000000003,3
Billekahalli,1935.0,3.0,110.00000000000004,3
8th Phase JP Nagar,451.0,1.0,29.89999999999999,1
Electronic City,1800.0,3.0,95.0,3
Jalahalli,1400.0,3.0,77.00000000000001,3
Hegde Nagar,1801.0,3.0,115.00000000000001,3
Mahadevpura,1451.0,2.0,90.0,2
Anekal,1200.0,1.0,36.0,2
Begur Road,1160.0,2.0,43.99999999999999,2
Kengeri,1000.0,2.0,24.999999999999996,2
Kanakpura Road,950.0,2.0,40.0,2
other,1629.0,3.0,79.0,3
Vijayanagar,1580.0,2.0,133.99999999999997,3
Vijayanagar,1826.0,3.0,121.00000000000003,3
7th Phase JP Nagar,1245.0,2.0,94.0,2
Raja Rajeshwari Nagar,1145.0,2.0,45.79,2
Sompura,825.0,2.0,33.0,2
Yeshwanthpur,1693.0,3.0,108.00000000000003,3
Electronics City Phase 1,1113.27,2.0,53.00000000000001,2
other,1460.0,2.0,57.999999999999986,2
Doddathoguru,1050.0,2.0,32.0,2
Dodda Nekkundi,1260.0,2.0,55.000000000000014,2
Hosur Road,1656.0,2.0,119.99999999999997,2
Chandapura,1208.0,3.0,44.99999999999999,3
Whitefield,1910.0,3.0,161.00000000000003,3
Battarahalli,1200.0,2.0,64.99999999999999,2
7th Phase JP Nagar,1175.0,2.0,82.00000000000001,2
Kengeri,1276.0,1.0,18.499999999999996,1
other,1185.0,2.0,37.99999999999999,2
Kengeri,750.0,2.0,37.99999999999999,2
Kanakpura Road,1550.0,3.0,64.49999999999999,3
other,1760.0,3.0,88.00000000000003,3
Billekahalli,1125.0,2.0,62.00000000000001,2
Anandapura,1000.0,2.0,55.000000000000014,2
Bommasandra Industrial Area,1090.0,2.0,31.480000000000004,2
TC Palaya,1200.0,2.0,59.999999999999986,2
Budigere,1991.0,4.0,103.00000000000001,3
Bommasandra,1060.0,2.0,26.5,2
Ambalipura,1105.0,2.0,74.99999999999997,2
Hoodi,985.0,2.0,66.99999999999997,2
Balagere,1590.0,3.0,79.0,3
CV Raman Nagar,1120.0,2.0,55.000000000000014,2
other,1069.0,2.0,55.000000000000014,2
Marathahalli,1933.0,3.0,139.99999999999994,3
Hosur Road,1194.0,2.0,69.00000000000001,2
Brookefield,1150.0,2.0,69.00000000000001,2
Yelenahalli,1240.0,2.0,47.120000000000005,2
Raja Rajeshwari Nagar,1419.0,2.0,48.10000000000001,2
other,1450.0,3.0,55.000000000000014,3
other,1630.0,3.0,68.29000000000003,3
Dasanapura,708.0,1.0,40.0,2
Bellandur,1250.0,2.0,76.0,2
7th Phase JP Nagar,1400.0,2.0,95.0,3
Sarjapur  Road,1670.0,2.0,57.00000000000001,3
Ardendale,1750.0,3.0,100.00000000000004,3
Vittasandra,1404.0,2.0,71.0,2
Hoodi,1715.0,2.0,95.0,3
Electronic City,630.0,1.0,34.650000000000006,1
Harlur,1752.12,3.0,135.00000000000003,3
Hulimavu,1650.0,3.0,78.0,3
Raja Rajeshwari Nagar,1295.0,2.0,55.46999999999999,2
Sarjapur  Road,1346.0,2.0,74.02999999999999,2
Hormavu,1150.0,2.0,55.000000000000014,2
Chandapura,1190.0,2.0,30.35000000000001,3
AECS Layout,1620.0,3.0,98.00000000000004,3
Marathahalli,950.0,2.0,46.96000000000001,2
Harlur,2450.0,3.0,119.99999999999997,3
Electronic City Phase II,1220.0,2.0,35.22999999999999,3
other,850.0,2.0,30.000000000000004,2
Padmanabhanagar,1020.0,2.0,62.99999999999999,2
Chikkalasandra,1100.0,2.0,49.99999999999999,2
Hebbal,1760.0,2.0,129.99999999999997,3
Ambalipura,1800.0,3.0,110.00000000000004,3
Akshaya Nagar,1070.0,2.0,54.00000000000001,2
Vidyaranyapura,1440.0,2.0,95.0,2
Amruthahalli,900.0,2.0,40.0,2
Whitefield,1130.0,2.0,42.16,2
Kodigehalli,1270.0,2.0,98.00000000000004,2
other,1200.0,2.0,62.00000000000001,2
other,1200.0,2.0,74.00000000000003,2
Subramanyapura,929.0,2.0,50.17,2
other,1464.0,3.0,56.00000000000002,3
other,2000.0,4.0,98.99999999999999,4
Chikkalasandra,1208.0,2.0,48.99999999999999,2
Hebbal Kempapura,1130.0,2.0,59.999999999999986,2
other,1753.0,3.0,119.99999999999997,3
Hoodi,1196.0,2.0,94.41999999999997,2
5th Phase JP Nagar,1150.0,3.0,52.5,2
Electronic City,1128.0,2.0,62.99999999999999,2
other,1000.0,2.0,53.00000000000001,2
Yelahanka,1035.0,2.0,44.99999999999999,2
Kereguddadahalli,950.0,2.0,32.0,2
Bisuvanahalli,1075.0,2.0,36.0,3
Whitefield,1040.0,2.0,48.49999999999999,2
other,720.0,2.0,44.99999999999999,2
Lingadheeranahalli,1511.0,3.0,95.0,3
other,1300.0,3.0,57.999999999999986,3
Hoodi,1545.0,3.0,68.75000000000001,3
Shampura,375.0,2.0,26.000000000000004,1
Vidyaranyapura,1062.0,2.0,37.99999999999999,2
other,1115.0,2.0,40.0,2
JP Nagar,1000.0,2.0,34.99999999999999,2
Kambipura,883.0,2.0,44.99999999999999,2
Sarjapur  Road,1195.0,2.0,70.00000000000003,2
other,700.0,1.0,41.00000000000001,1
Vittasandra,1246.0,2.0,66.99999999999997,2
other,1600.0,4.0,79.99999999999997,4
Begur Road,1584.0,3.0,64.99999999999999,3
Hosur Road,1175.0,2.0,48.00000000000001,3
other,1595.0,3.0,115.00000000000001,3
other,1353.0,2.0,110.00000000000004,2
Electronic City,1599.0,3.0,125.00000000000004,3
Whitefield,1150.0,2.0,70.00000000000003,2
KR Puram,1155.0,2.0,42.74000000000001,2
other,1200.0,2.0,85.00000000000001,1
Electronic City Phase II,1000.0,2.0,24.999999999999996,2
Rajiv Nagar,1867.0,3.0,159.99999999999994,3
Ramagondanahalli,1251.0,2.0,46.99999999999999,2
other,1028.0,2.0,45.5,2
Arekere,1222.0,2.0,44.99999999999999,2
Bannerghatta Road,1170.0,2.0,65.99999999999997,3
other,1385.0,2.0,48.480000000000004,3
HSR Layout,1372.0,2.0,68.00000000000001,2
Magadi Road,1282.0,2.0,48.99999999999999,3
Kanakpura Road,1135.0,2.0,39.73,2
Whitefield,1768.0,3.0,101.00000000000003,3
other,1325.0,2.0,90.0,3
Electronic City,1599.0,3.0,98.99999999999999,3
Whitefield,1500.0,3.0,61.950000000000024,3
Uttarahalli,1286.0,2.0,62.99999999999999,2
other,1600.0,2.0,49.99999999999999,3
Hennur Road,1317.5,2.0,63.77000000000003,2
Munnekollal,1102.0,2.0,53.669999999999995,2
Yelahanka,1350.0,2.0,54.00000000000001,2
Banashankari,1200.0,2.0,42.00000000000001,3
other,1800.0,1.0,79.99999999999997,2
Chikkabanavar,950.0,2.0,40.0,2
Kanakpura Road,525.0,1.0,27.25,1
Attibele,656.0,2.0,24.999999999999996,2
other,1056.0,2.0,79.99999999999997,2
Bannerghatta Road,595.0,1.0,33.32000000000001,1
other,1080.0,2.0,49.99999999999999,2
7th Phase JP Nagar,2225.0,3.0,159.99999999999994,3
Bommasandra,1126.0,2.0,28.15,2
Electronics City Phase 1,1490.0,3.0,83.99999999999999,3
Sarjapur  Road,1550.0,3.0,100.00000000000004,3
other,1600.0,3.0,85.99999999999997,3
other,1160.0,2.0,55.000000000000014,2
Sarjapur  Road,2100.0,3.0,125.00000000000004,3
Vittasandra,1404.0,2.0,69.29999999999998,2
other,1544.0,3.0,119.99999999999997,3
Banashankari Stage III,1305.0,2.0,58.7,3
Marathahalli,1230.0,2.0,79.99999999999997,2
other,1200.0,2.0,64.99999999999999,2
Harlur,1460.0,3.0,72.99999999999999,3
Sarjapur  Road,1800.0,2.0,34.184999999999995,2
Gottigere,967.0,2.0,44.99999999999999,2
other,540.0,1.0,36.0,1
Hormavu,715.0,1.0,46.0,1
Mysore Road,1020.0,2.0,48.95,2
Jigani,1020.0,2.0,40.0,2
Koramangala,1253.0,2.0,101.99999999999996,2
other,1180.0,2.0,42.00000000000001,2
Nehru Nagar,961.0,2.0,37.99999999999999,2
Kanakapura,1419.0,3.0,74.99999999999997,3
Harlur,1709.0,3.0,149.99999999999997,3
other,1600.0,2.0,115.00000000000001,2
other,416.0,1.0,18.499999999999996,1
Sanjay nagar,1100.0,2.0,98.00000000000004,2
HSR Layout,1430.0,2.0,64.99999999999999,3
other,1260.0,2.0,44.99999999999999,2
other,1630.0,3.0,85.00000000000001,3
Sarjapur  Road,1249.0,3.0,44.709999999999994,3
Kalena Agrahara,1450.0,2.0,85.00000000000001,3
other,834.0,1.0,59.999999999999986,1
other,1125.0,4.0,70.00000000000003,3
Arekere,2060.0,3.0,139.99999999999994,3
Gottigere,891.0,2.0,24.999999999999996,2
Raja Rajeshwari Nagar,1133.0,2.0,49.07000000000001,2
Bisuvanahalli,1075.0,2.0,36.99999999999999,3
Vidyaranyapura,1200.0,2.0,55.000000000000014,2
Thanisandra,1075.0,2.0,45.79999999999999,2
Kaggadasapura,1140.0,2.0,40.0,2
Raja Rajeshwari Nagar,1090.0,2.0,42.00000000000001,2
R.T. Nagar,1500.0,4.0,70.00000000000003,4
Whitefield,1790.0,3.0,100.00000000000004,3
Hebbal,1920.0,3.0,133.99999999999997,3
HRBR Layout,1374.0,2.0,95.0,2
Bannerghatta Road,1445.0,3.0,95.0,3
Kanakapura,711.0,1.0,36.0,1
Tumkur Road,1500.0,3.0,95.0,3
Whitefield,1720.0,3.0,100.00000000000004,3
Vasanthapura,1400.0,3.0,59.999999999999986,3
Kundalahalli,1030.0,2.0,48.99999999999999,2
Mysore Road,1200.0,2.0,85.00000000000001,2
other,1375.0,3.0,70.00000000000003,3
Hegde Nagar,1050.0,1.0,56.00000000000002,2
Jalahalli,2250.0,3.0,159.99999999999994,3
Bellandur,1000.0,2.0,49.99999999999999,2
other,469.0,1.0,24.999999999999996,1
Kambipura,883.0,2.0,29.000000000000004,2
GM Palaya,1820.0,2.0,85.99999999999997,3
Singasandra,1440.0,2.0,64.99999999999999,3
Mahadevpura,1225.0,2.0,48.00000000000001,2
Chikkalasandra,875.0,2.0,52.800000000000004,2
Jalahalli East,750.0,1.0,40.0,1
6th Phase JP Nagar,1180.0,2.0,79.99999999999997,2
Haralur Road,1194.0,2.0,46.99999999999999,2
Hennur Road,1500.0,2.0,62.00000000000001,3
other,1160.0,2.0,52.20000000000001,2
Sarjapur,1128.0,2.0,59.999999999999986,2
other,1220.0,2.0,35.22999999999999,3
Sarjapur  Road,1210.0,2.0,57.999999999999986,2
Kanakpura Road,1100.0,2.0,57.999999999999986,3
Bommasandra,1200.0,3.0,46.0,3
other,1641.0,3.0,65.99999999999997,3
Horamavu Agara,1200.0,2.0,44.99999999999999,2
Raja Rajeshwari Nagar,1260.0,2.0,67.39,2
Mahadevpura,1720.0,3.0,78.0,3
Yelahanka,1132.5,2.0,48.13,2
Yelahanka,1210.0,2.0,45.980000000000004,2
Bisuvanahalli,1075.0,2.0,44.99999999999999,3
Thanisandra,1702.0,3.0,129.99999999999997,3
Raja Rajeshwari Nagar,1141.0,2.0,38.55,2
other,2072.0,3.0,108.00000000000003,3
other,1200.0,2.0,70.00000000000003,3
other,1350.0,3.0,77.00000000000001,3
other,1180.0,2.0,78.33999999999997,3
other,1355.0,2.0,115.00000000000001,2
other,600.0,1.0,49.99999999999999,1
Bannerghatta Road,1640.0,2.0,119.99999999999997,3
Kodichikkanahalli,1190.0,2.0,57.00000000000001,3
Marathahalli,1019.0,2.0,49.85,2
other,1875.0,3.0,164.99999999999994,3
Akshaya Nagar,1250.0,3.0,40.0,3
Whitefield,1140.0,2.0,56.00000000000002,2
Lingadheeranahalli,1683.0,3.0,108.99999999999997,3
Kaggadasapura,1515.0,3.0,83.30000000000001,3
Hoodi,2118.0,4.0,110.99999999999997,4
Bannerghatta Road,1380.0,3.0,57.999999999999986,4
Varthur Road,1083.0,2.0,61.75000000000001,2
other,600.0,2.0,55.000000000000014,2
other,2300.0,3.0,119.99999999999997,3
other,1240.0,2.0,59.999999999999986,2
other,1750.0,3.0,119.99999999999997,3
other,1230.0,2.0,43.48,2
Anjanapura,1500.0,3.0,138.99999999999997,3
Abbigere,985.0,2.0,40.39,2
Tindlu,1500.0,2.0,87.0,3
Electronic City,1125.0,2.0,32.49000000000001,2
other,950.0,2.0,43.99999999999999,2
Kothanur,1580.0,3.0,76.0,3
other,1092.0,2.0,98.49999999999999,3
Electronic City Phase II,1090.0,2.0,28.339999999999996,2
Hennur Road,2264.0,3.0,159.0,3
Dommasandra,1033.0,2.0,25.530000000000005,3
Kammasandra,810.0,2.0,24.500000000000004,2
other,1045.0,2.0,44.99999999999999,2
Hebbal,1337.0,2.0,82.00000000000001,2
Chandapura,1200.0,2.0,32.0,2
Begur Road,1500.0,2.0,54.00000000000001,3
Whitefield,1640.0,4.0,90.99999999999997,3
other,1570.0,3.0,62.00000000000001,3
Gubbalala,1470.0,2.0,82.00000000000001,3
Kengeri,1160.0,2.0,40.61000000000001,2
7th Phase JP Nagar,1050.0,2.0,71.0,2
Bannerghatta Road,1460.0,2.0,90.0,3
Hulimavu,1823.0,3.0,100.00000000000004,3
